Source	Cell Type (Clean)	Cell Type	Spearman's Correlation	Pearson's Correlation	Description (e.g. cell type, tissue, system)
BLUEPRINT	macrophage macrophage cord blood	macrophage.macrophage.cord.blood	0.5535152051	0.8860967121	blood, macrophage
BLUEPRINT	macrophage macrophage venous blood	macrophage.macrophage.venous.blood	0.6183676132	0.8901998569	blood, macrophage
BLUEPRINT	mature conventional dendritic cell mature conventional dendritic cell   GM CSF IL4 T 6 days R848 T 24hrs venous blood	mature.conventional.dendritic.cell.mature.conventional.dendritic.cell...GM.CSF_IL4_T.6_days_R848_T.24hrs.venous.blood	0.6767548545	0.8899781559	blood, dendritic
BLUEPRINT	mature eosinophil mature eosinophil venous blood	mature.eosinophil.mature.eosinophil.venous.blood	0.665052697	0.8711841405	blood, eosinophil
BLUEPRINT	mature neutrophil mature neutrophil   G CSF Dex  Treatment  16 20 hrs  venous blood	mature.neutrophil.mature.neutrophil...G.CSF.Dex..Treatment..16.20.hrs..venous.blood	0.6342165687	0.8844678478	blood, neutrophil
BLUEPRINT	mature neutrophil mature neutrophil cord blood	mature.neutrophil.mature.neutrophil.cord.blood	0.6343332958	0.8920830951	blood, neutrophil
BLUEPRINT	mature neutrophil mature neutrophil venous blood	mature.neutrophil.mature.neutrophil.venous.blood	0.6815741252	0.8873747859	blood, neutrophil
BLUEPRINT	memory B cell memory B cell venous blood	memory.B.cell.memory.B.cell.venous.blood	0.7323906338	0.8490778837	blood, B cell
BLUEPRINT	mesenchymal stem cell of the bone marrow mesenchymal stem cell of the bone marrow venous blood	mesenchymal.stem.cell.of.the.bone.marrow.mesenchymal.stem.cell.of.the.bone.marrow.venous.blood	0.7125925255	0.7621344533	blood, stem
BLUEPRINT	monocyte monocyte   Attached T 1hr venous blood	monocyte.monocyte...Attached_T.1hr.venous.blood	0.6417952368	0.8892430797	blood, monocyte
BLUEPRINT	monocyte monocyte   None venous blood	monocyte.monocyte...None.venous.blood	0.6602296739	0.8857221709	blood, monocyte
BLUEPRINT	monocyte monocyte   RPMI BG T 1hr venous blood	monocyte.monocyte...RPMI_BG_T.1hr.venous.blood	0.5919351204	0.8776306791	blood, monocyte
BLUEPRINT	monocyte monocyte   RPMI BG T 24hrs RPMI T 5days venous blood	monocyte.monocyte...RPMI_BG_T.24hrs_RPMI_T.5days.venous.blood	0.6316124147	0.88820797	blood, monocyte
BLUEPRINT	monocyte monocyte   RPMI BG T 24hrs venous blood	monocyte.monocyte...RPMI_BG_T.24hrs.venous.blood	0.6447754668	0.8883417411	blood, monocyte
BLUEPRINT	monocyte monocyte   RPMI BG T 4hrs venous blood	monocyte.monocyte...RPMI_BG_T.4hrs.venous.blood	0.5850204763	0.8769009056	blood, monocyte
BLUEPRINT	monocyte monocyte   RPMI LPS T 1hr venous blood	monocyte.monocyte...RPMI_LPS_T.1hr.venous.blood	0.5932439563	0.8782804468	blood, monocyte
BLUEPRINT	monocyte monocyte   RPMI LPS T 24hrs RPMI T 5days venous blood	monocyte.monocyte...RPMI_LPS_T.24hrs_RPMI_T.5days.venous.blood	0.5536486208	0.8692473084	blood, monocyte
BLUEPRINT	monocyte monocyte   RPMI LPS T 24hrs venous blood	monocyte.monocyte...RPMI_LPS_T.24hrs.venous.blood	0.6387520558	0.8887113349	blood, monocyte
BLUEPRINT	monocyte monocyte   RPMI LPS T 4hrs venous blood	monocyte.monocyte...RPMI_LPS_T.4hrs.venous.blood	0.620013714	0.8835217477	blood, monocyte
BLUEPRINT	monocyte monocyte   RPMI T 1hr venous blood	monocyte.monocyte...RPMI_T.1hr.venous.blood	0.5798821948	0.8752554779	blood, monocyte
BLUEPRINT	monocyte monocyte   RPMI T 24hrs venous blood	monocyte.monocyte...RPMI_T.24hrs.venous.blood	0.5972739321	0.878274181	blood, monocyte
BLUEPRINT	monocyte monocyte   RPMI T 4hrs venous blood	monocyte.monocyte...RPMI_T.4hrs.venous.blood	0.5890131128	0.8771700689	blood, monocyte
